FIPS,MedianIncome2011,MedianIncome2012,MedianIncome2013,MedianIncome2014,MedianIncome2015,MedianIncome2016,MedianIncome2017,MedianIncome2018
9001,"77,065","79,536","81,816","85,336","86,297","89,954","91,170","91,183"
9003,"60,947","63,374","63,491","65,809","69,260","69,341","70,433","73,037"
9005,"68,658","67,746","70,519","73,413","70,847","76,323","77,968","76,304"
9007,"75,714","74,588","75,335","76,365","82,878","80,190","81,533","88,709"
9009,"58,985","59,217","58,672","60,387","61,758","66,012","66,764","67,720"
9011,"63,561","65,573","62,638","65,813","65,602","70,258","71,721","67,790"
9013,"77,124","75,048","73,660","78,653","81,616","81,369","75,571","89,584"
9015,"54,911","54,221","55,948","57,547","61,303","60,869","62,606","65,182"
10000,"58,159","58,326","58,244","59,853","61,327","62,112","64,085","65,467"
10001,"51,045","51,695","53,811","54,271","55,678","53,994","57,112","54,980"
10003,"63,087","62,086","63,033","64,632","66,179","67,246","66,839","69,562"
10005,"51,060","48,684","50,207","53,316","54,309","56,618","61,124","59,821"
11000,"62,087","65,231","66,326","69,992","73,115","74,093","80,153","82,533"
11001,"62,087","65,231","66,326","69,992","73,115","74,093","80,153","82,533"
12000,"44,250","45,006","46,021","47,439","49,416","50,857","52,582","55,433"
12001,"39,825","41,297","39,614","44,325","47,023","45,294","45,230","51,026"
12003,"42,564","45,721","46,505","47,121","50,883","51,904","51,856","52,804"
12005,"44,204","45,259","45,249","44,800","47,745","48,843","51,633","51,777"
12007,"39,271","38,680","40,668","39,980","40,879","43,058","44,997","45,075"
12009,"46,494","46,332","46,677","47,973","50,352","51,214","52,596","57,612"
12011,"48,478","49,564","50,343","51,485","53,624","54,055","56,702","57,200"
12013,"32,395","33,418","33,977","35,256","36,062","36,708","37,612","38,323"
12015,"41,346","44,454","43,611","43,242","45,495","44,935","51,583","52,724"
12017,"35,041","38,937","39,285","36,383","39,982","40,009","43,147","41,556"
12019,"54,867","56,359","57,991","58,539","59,244","57,476","65,375","62,835"
12021,"51,039","54,475","55,584","58,403","62,385","62,397","66,709","70,649"
12023,"36,452","37,091","41,722","38,484","43,303","41,667","42,097","46,195"
12027,"32,753","33,602","33,198","36,945","34,380","34,146","37,342","37,233"
12029,"30,801","31,913","31,649","32,121","35,749","34,146","38,355","37,148"
12031,"45,995","43,835","47,876","46,013","49,565","51,948","52,105","55,733"
12033,"41,072","44,539","42,742","46,139","45,735","45,004","48,289","50,644"
12035,"47,095","44,460","47,872","51,556","50,347","50,863","52,713","58,975"
12037,"35,288","37,868","33,471","36,788","38,220","37,479","40,158","40,297"
12039,"34,154","35,854","34,348","35,849","36,637","40,865","38,084","42,259"
12041,"38,046","38,016","39,854","40,788","39,342","41,721","42,880","42,186"
12043,"38,825","37,004","39,003","38,783","40,215","39,607","42,865","38,680"
12045,"37,373","34,940","38,880","38,419","41,320","38,381","44,135","45,426"
12047,"29,482","32,232","33,836","31,734","33,497","34,517","35,262","36,299"
12049,"33,058","34,012","34,884","35,371","35,850","37,612","40,056","39,169"
12051,"35,247","36,515","37,085","38,494","39,320","39,911","38,361","44,391"
12053,"40,411","37,093","39,280","40,094","43,103","46,225","44,710","45,884"
12055,"33,692","34,722","34,054","35,787","34,691","36,864","37,445","39,994"
12057,"46,592","46,534","49,510","50,758","51,710","54,509","54,741","58,361"
12059,"33,211","36,272","33,220","35,651","35,202","41,110","40,657","38,040"
12061,"42,053","42,638","44,326","47,548","49,887","49,813","51,797","58,228"
12063,"35,193","34,978","36,332","36,876","36,751","37,358","41,524","39,545"
12065,"40,252","38,244","39,494","40,205","42,210","43,453","48,163","46,332"
12067,"40,407","34,054","37,120","38,071","40,345","40,653","41,549","42,689"
12069,"44,965","41,579","44,244","46,895","49,711","50,125","51,429","52,447"
12071,"45,515","46,396","46,605","49,147","50,713","52,989","54,198","56,343"
12073,"44,857","46,014","46,975","45,463","46,405","51,041","51,716","51,046"
12075,"33,544","32,815","33,193","37,433","36,005","33,092","37,272","39,037"
